4/1/2024 20:35:15 [Information] Stepper Motor Controller Application Started.
4/1/2024 20:35:15 [Information] Version:2.0.0.37056 (4/1/2024 20:35:15)
4/1/2024 20:35:15 [Information] Opened Serial Port at: COM4, 9600
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:27 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:01 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:28 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:02 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:29 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:03 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:30 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:04 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:31 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:05 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:32 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:06 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:33 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:34 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:34 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:34 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:34 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:34 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:34 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:34 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:34 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:34 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:34 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:34 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
4/1/2024 20:35:34 [Information] Time remaining: 00:00:07 targetEndTime = 08:35:58
